metric,ranker,estimate,lo,hi,p_gt0,n_cx,seed,nboot,command
capture@k3,burial_score,0.13624338624338622,0.031746031746031744,0.25661375661375657,,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
capture@k3,kl,0.20767195767195765,0.037037037037037035,0.43386243386243384,,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
capture@k3,klbur,0.24779541446208114,0.06878306878306878,0.476212522045855,,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
capture@k3,random_expected,0.08326270679211857,0.07309218559218561,0.0958135818429936,,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
DELTA_capture@k3,kl_minus_burial_score,0.07142857142857142,-0.16931216931216928,0.34927248677248585,0.6737,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
DELTA_capture@k3,klbur_minus_burial_score,0.11155202821869488,-0.08024691358024691,0.3708884479717802,0.8265,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
capture@k25pct,burial_score,0.48324514991181655,0.2733686067019401,0.6838734567901233,,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
capture@k25pct,kl,0.4801587301587301,0.25925925925925924,0.7129629629629629,,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
capture@k25pct,klbur,0.5480599647266314,0.32407407407407407,0.7671957671957671,,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
capture@k25pct,random_expected,0.25548612607436133,0.25213675213675213,0.25954775072422126,,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
DELTA_capture@k25pct,kl_minus_burial_score,-0.0030864197530864274,-0.3580246913580247,0.3487654320987654,0.4855,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
DELTA_capture@k25pct,klbur_minus_burial_score,0.06481481481481481,-0.2777777777777778,0.3888888888888889,0.6437,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
AUROC_is_hot,burial_score,0.7215265473449731,0.6369107528955152,0.7970353834939133,,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
AUROC_is_hot,kl,0.7596293913445256,0.6796090779597128,0.8416124129536445,,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
AUROC_is_hot,klbur,0.7852436870495724,0.7130316458687082,0.8558735690641489,,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
DELTA_AUROC_is_hot,kl_minus_burial_score,0.038102843999552466,-0.08935904863464095,0.15568379922414322,0.7308,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
DELTA_AUROC_is_hot,klbur_minus_burial_score,0.06371713970459919,-0.008801394046964431,0.14087151431469744,0.9564,9,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
AUROC_is_hot_MODEL_UNCERTAIN,burial_score,0.7710096063156824,0.646677536531247,0.8693369807437146,,7,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
AUROC_is_hot_MODEL_UNCERTAIN,kl,0.8092990230329062,0.6837678036801765,0.9101319875776398,,7,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
DELTA_AUROC_MODEL_UNCERTAIN,kl_minus_burial,0.03828941671722376,-0.11303716881489438,0.18940402247855667,0.6856,7,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expC2_triage_joined.csv --out results/kl_triage_expC2.csv
